Nom gare;Code Gare;Type jour;Année;Date de comptage;Ligne;Axe;Tranche horaire;Montants
BOUTIGNY;87681478;Dimanche;2019;2019-03-24;D;D;De 16h à 20h;43
SARCELLES SAINT-BRICE;87276386;Dimanche;2019;2019-10-13;H;H;Après 20h;395
SAVIGNY SUR ORGE;87545236;JOB;2017;2017-04-25;C;C;De 6h à 10h;6716
CERNAY;87276063;Samedi;2019;2019-10-12;H;H;Avant 6h;21
ORANGIS BOIS DE L'EPINE;87681346;JOB;2019;2019-03-26;D;D;De 6h à 10h;2284
ROSNY SOUS BOIS;87113704;Samedi;2016;2016-10-01;E;E;Avant 6h;140
BOUTIGNY;87681478;JOB;2019;2019-03-26;D;D;Après 20h;5
SEUGY;87272039;Dimanche;2019;2019-10-13;H;H;De 6h à 10h;7
SERMAISE;87545517;JOB;2017;2017-04-25;C;C;De 10h à 16h;24
CHAMP DE COURSES D'ENGHIEN;87276030;Dimanche;2019;2019-10-13;H;H;Après 20h;191
ORANGIS BOIS DE L'EPINE;87681346;Samedi;2019;2019-03-23;D;D;De 16h à 20h;484
